,loss,DSC,SEN,PPV,val_loss,val_DSC,val_SEN,val_PPV
0,0.9168620995573096,0.1840518724072624,0.33281874354626684,0.17795668293193384,0.8864112297693888,0.2020366895529959,0.4053048499756389,0.266433995631006
1,0.8339836436348993,0.23616477665868965,0.3928690748037519,0.2212256156914943,0.8562314543459151,0.2609930779370997,0.3908524091045062,0.36886445350117153
2,0.7680552593759589,0.31271302941683177,0.4164384313531824,0.3272591742712098,0.7630230420165591,0.3811872899532318,0.4796205841832691,0.4880572772688336
3,0.7344587413040368,0.35400231122165116,0.4384047721286078,0.37641431330829056,0.798328129781617,0.31074359516302746,0.4000141728255484,0.5159090210994085
4,0.7366966178288331,0.33811796376028574,0.4357490015996469,0.3588948028313147,0.7660653491814932,0.34326444069544476,0.457421896358331,0.46094778842396206
5,0.7099188501770431,0.37818677662997635,0.4582589371381579,0.4196720745515179,0.7535273863209618,0.3418494496080611,0.4537106206019719,0.4621656123134825
6,0.664853381546768,0.39022198722169205,0.4706215342959842,0.4280971673292083,0.6743170519669851,0.3632993656728003,0.47918957637415993,0.4391145499216186
7,0.578331783011153,0.42898954521562604,0.4858834360902374,0.47201803507837087,0.5782003766960568,0.4311784017417166,0.534674702419175,0.5252411266167959
8,0.5851454464970408,0.4177545178178194,0.47587665915489197,0.4639925483513523,0.5871473964717653,0.425419623653094,0.5259504550033145,0.5434890935818354
9,0.5587079557212623,0.4442682479684417,0.5051528932274999,0.48571094447696533,0.5942930065923266,0.4136473842793041,0.5125578261084027,0.516090547045072
10,0.5538974980244765,0.44878183103896474,0.5091915911919361,0.4875347137048438,0.5693882322973676,0.4409400034281943,0.529538556933403,0.5388775385088391
11,0.5423011807976542,0.46020915178028315,0.5218397455440985,0.49951247709828456,0.5614319543043772,0.44667670958571964,0.5488968905475404,0.526663644446267
12,0.5293239298704508,0.47303998450169693,0.5415389984846115,0.5112472067813616,0.5508062210347917,0.45593078931172687,0.5781866411368052,0.5151046845648024
13,0.5159114228712546,0.4861763973493834,0.548279624935743,0.5255709153574866,0.508914940059185,0.4951126194662518,0.597960395945443,0.5984029869238535
14,0.5168783072684262,0.48525947292108795,0.5470364806619851,0.5254222231136786,0.5303371946016947,0.4750112427605523,0.5747207303841909,0.5631165603796641
15,0.5250873223349855,0.4770529684988228,0.5419755626369167,0.5155490733481742,0.512684109310309,0.4920152574777603,0.6150144884983698,0.5507319685485628
16,0.5041141824142353,0.49791582855018407,0.5594712383038288,0.5431041568517685,0.5491056856181886,0.4531077444553375,0.5571075429519018,0.604245083199607
17,0.4988994836001783,0.5030604782136711,0.564364226685988,0.5481693861452309,0.5076230002774132,0.5003739015923606,0.5944536510441039,0.5934403720829222
