,loss,DSC,SEN,PPV,val_loss,val_DSC,val_SEN,val_PPV
130,0.21391914964749895,0.7885418739812128,0.8315199325824606,0.8289179339491087,0.37148801130907877,0.6309016559805188,0.7119573099272591,0.6806783761296954
131,0.21547321024639854,0.7870868824679276,0.8338581231133692,0.8303614176552871,0.35904211763824734,0.6438814188752856,0.7165777087211609,0.6968717149325779
132,0.2122891149644194,0.7901196490074026,0.8338063862817041,0.8313766060204342,0.4240947887301445,0.5815616420337132,0.6398073519979205,0.6776766351291111
133,0.22355021793266822,0.7788158310898419,0.82908669627946,0.8201675394485737,0.3763041985886438,0.6277183890342712,0.7084695994853973,0.6681965568235942
134,0.2082359400288812,0.7942625325301598,0.8394154073863194,0.8285806045450014,0.36832005104848314,0.6363685790981565,0.7018932615007673,0.6976933394159589
135,0.20599169155647015,0.7964300122754328,0.841764787147785,0.8340529881674668,0.3651594338672502,0.6398749628237316,0.7192841385092054,0.6867756971291133
136,0.21046401329081635,0.79186618739161,0.8361072057280047,0.8319599443468554,0.3593063865389143,0.6438738661152976,0.7335376058306012,0.6784233323165348
137,0.20951477874969615,0.7927590598320139,0.8354913540955248,0.8346410558141512,0.3494418827550752,0.6539443986756461,0.7305527244295392,0.7019636588437217
138,0.20366831740428662,0.7985043659292418,0.8425715915087996,0.836704735098214,0.3611887129289763,0.6426474877766201,0.71261756334986,0.7011517882347107
139,0.2085825678860319,0.7937182599100573,0.836429362667018,0.8350362531070051,0.35224336811474394,0.6497226102011544,0.7229021745068687,0.7044307589530945
140,0.21234676164799723,0.7898987346682055,0.8368080741372602,0.830681199657506,0.36109665249075207,0.6454409807920456,0.7191838324069977,0.6984366987432752
141,0.20140150523391262,0.800788114810812,0.8464114008278683,0.8387456238269806,0.3649435064622334,0.6376158786671502,0.6962733013289315,0.716276364667075
142,0.20547819009114957,0.796833545997225,0.8422190731969373,0.8361018053416548,0.3553974149482591,0.6474963596888951,0.7070960487638202,0.7247915055070605
143,0.21316727353581066,0.7891142126815073,0.8360969187884495,0.824226687694418,0.3634362273982593,0.6385851119245801,0.6974504377160754,0.7144196970122201
144,0.20589985672769875,0.7962673255081835,0.8414527311407286,0.834641989962808,0.35153463163546156,0.6528301388025284,0.7209907514708382,0.71034979394504
145,0.20521696528484082,0.7970004235876018,0.8428982876498123,0.8350915929366802,0.3571184937443052,0.6460501147168023,0.7146184231553759,0.70071428162711
146,0.20573356696243944,0.7963336469798252,0.8420572435033733,0.8350025713443756,0.34630313728536877,0.6559425209249768,0.7269499940531594,0.7110244887215751
147,0.20228934647708102,0.7998285273025776,0.8455339361881388,0.8362505312623649,0.34892324783972334,0.6531427460057395,0.7313815781048366,0.695568574326379
